Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCY42,OUT027,3519.1387790409085
FDR07,OUT017,1545.8790031102928
FDN40,OUT045,2476.8519015099696
FDB35,OUT027,2478.332973568176
FDA22,OUT017,2562.7453037560954
NCL06,OUT046,4106.551173079495
FDI35,OUT013,3038.176870232059
NCW42,OUT045,3770.7781801204137
NCX06,OUT049,2965.1289725047027
FDC37,OUT027,2543.1339818822607
FDZ14,OUT018,1885.076983685119
DRG49,OUT049,3939.6892593076645
NCG06,OUT045,4046.812591878327
DRC36,OUT045,2896.6542254320448
FDV21,OUT019,330.07775688057137
FDB53,OUT046,2507.644024793843
DRP47,OUT019,608.9858791439938
FDA14,OUT013,2485.705296579767
DRC24,OUT035,2512.2806636558867
FDW21,OUT018,1605.0184471113832
NCH29,OUT046,1563.1709120959558
FDU58,OUT013,3110.9096112870548
FDY27,OUT017,2917.7139675919248
FDV56,OUT035,1654.688343790453
FDT59,OUT046,3901.3783826845283
FDB23,OUT046,3775.3875428190895
FDR49,OUT045,765.2949080732692
FDB03,OUT010,566.9730009996184
FDN39,OUT045,2608.7200121476785
FDX02,OUT027,5865.141913170591
FDQ16,OUT027,2568.355367420295
FDU35,OUT018,1521.9757841756327
NCT29,OUT013,2019.6709029778522
FDZ27,OUT046,767.9397682373617
FDN57,OUT017,2033.6739670814793
FDA03,OUT018,2369.95439135982
FDZ36,OUT045,3126.670109731785
NCU05,OUT013,1317.1054012709244
FDT39,OUT018,2371.602977377874
FDK60,OUT017,1545.8790031102928
FDZ25,OUT017,2792.698604579806
FDG12,OUT046,2071.717331361889
DRB01,OUT019,472.3074025531187
NCC43,OUT027,6017.907432939436
FDX13,OUT019,539.89659183232
FDM22,OUT049,825.995305759813
FDJ03,OUT027,1422.0330084153063
FDU14,OUT018,3838.0608057319355
FDB33,OUT010,403.0584885186665
FDP27,OUT046,3118.7470887716745
FDO38,OUT010,181.1629654214584
FDE28,OUT027,6075.262317722349
FDO27,OUT035,1521.2341300450903
DRL23,OUT027,2526.0872637235866
FDS28,OUT046,855.2186016819659
FDX24,OUT013,1471.1451015475957
FDZ02,OUT035,1537.1558579585483
FDL46,OUT045,1933.6904798597668
FDS60,OUT027,4872.390705741986
NCO06,OUT017,605.5064707792916
FDO16,OUT035,1367.7918594884209
FDC60,OUT049,1378.5954642690922
FDA48,OUT018,3367.790385774958
FDZ36,OUT027,4891.130508103368
FDK27,OUT045,2045.1824053492987
FDW23,OUT018,584.3228094835747
FDM14,OUT018,1664.1558274939844
FDM14,OUT013,1642.7449400776616
FDW60,OUT018,2821.9450718313487
FDE21,OUT013,1981.543370941281
NCM42,OUT035,1660.7703101622217
FDY59,OUT010,208.98515055282894
DRI49,OUT049,1315.6056463199386
FDT28,OUT019,314.8967056469819
FDQ22,OUT018,586.0395254650562
FDR60,OUT049,1263.794631948738
FDC50,OUT019,251.63660579610104
FDV24,OUT013,2443.698964558059
DRF48,OUT010,507.5166010762633
FDQ47,OUT046,607.7617592677989
DRN36,OUT049,1542.8974429548375
NCY06,OUT035,2023.0195108165483
FDE52,OUT035,1410.7668169789054
NCB54,OUT045,2015.0728700233283
NCF31,OUT035,2484.1533537638174
FDJ08,OUT027,5283.924338314426
NCC07,OUT017,1645.726500233117
NCD19,OUT027,1676.397610334583
FDL46,OUT049,2050.9945572922866
FDM20,OUT045,4043.3471503729775
NCI06,OUT010,399.4231988314999
DRM11,OUT035,4163.875992102717
NCH07,OUT018,2446.815571131432
FDS23,OUT013,2045.5789366400306
FDO49,OUT018,754.1626502293444
FDS35,OUT049,1021.0025666712016
DRK39,OUT045,1339.1265795994234
DRI39,OUT049,855.2186016819659
FDV04,OUT017,2529.5337518008637
NCN14,OUT035,3041.307501631045
FDH08,OUT013,3845.1677163246036
FDS20,OUT046,3102.877486537012
FDV40,OUT049,1151.780355315193
FDZ48,OUT010,222.5061007607604
FDS24,OUT027,2426.368050256748
FDK44,OUT049,2886.34380863784
FDS48,OUT045,2509.0088566776253
FDK26,OUT010,562.6130349710485
FDD23,OUT045,3112.1715196049
NCH54,OUT017,2581.5536208217018
NCP14,OUT010,232.05922198580956
FDM60,OUT010,80.0339283190949
FDV24,OUT017,2457.4565096234387
FDH08,OUT018,3384.6718248601715
FDS12,OUT027,3425.2620104844386
FDR39,OUT027,4887.323060040938
FDP12,OUT027,969.3556331707073
DRF60,OUT027,6075.54693992618
FDC09,OUT035,1645.726500233117
FDF50,OUT018,2996.2293907142653
FDG28,OUT035,4030.6060057138166
NCE19,OUT017,855.2186016819659
NCM53,OUT010,254.76489184691755
NCN18,OUT049,1720.6895597541284
FDF32,OUT035,3060.311269233303
FDF11,OUT013,3941.5535920939774
DRI59,OUT049,3827.6191343281193
NCG54,OUT035,2774.1488253702337
FDM44,OUT046,1634.2111915027644
FDT57,OUT018,3268.5531611125793
FDV24,OUT046,2467.1460036850726
FDI50,OUT019,529.7147294741834
FDS09,OUT035,780.3745133291793
NCC31,OUT027,3901.4605751473605
FDQ07,OUT019,596.9001583658276
FDC22,OUT017,3124.0995610710083
FDZ56,OUT046,2803.6892980239863
FDZ40,OUT019,165.0980513162638
FDS46,OUT027,3024.8766036592565
DRD24,OUT045,2062.9889504996454
FDV45,OUT017,3070.7809454958424
FDL26,OUT045,2507.891692948336
FDA56,OUT018,1931.641419902632
FDN27,OUT046,1978.7761081732128
FDM20,OUT049,4043.3471503729775
FDO16,OUT017,1347.9138874055598
FDL03,OUT035,3021.8286766561455
FDE58,OUT046,1959.350579518143
FDI02,OUT027,3107.6108887285313
NCC55,OUT019,78.74845495466269
FDR03,OUT018,3209.315704648631
FDB14,OUT017,1471.7040268952928
FDR45,OUT013,3943.3202854138617
NCN07,OUT017,2041.5994940636247
FDM51,OUT019,244.58740420701636
FDT52,OUT027,6294.241133433946
FDL26,OUT046,2500.8751132384227
NCZ42,OUT046,3940.0439423433713
DRI47,OUT019,379.40881594552866
FDW40,OUT013,2084.4453664233133
FDN34,OUT046,2824.382253162703
FDS01,OUT035,2936.7638893131298
NCG55,OUT045,1937.022623958038
FDC11,OUT035,1369.8729658313273
FDX35,OUT018,3367.352266793927
NCB06,OUT046,2577.8173158763175
FDR09,OUT019,633.4887462858059
FDC53,OUT017,1548.3016379180508
FDY45,OUT013,4022.3168547530518
FDA22,OUT010,393.9245999176625
FDE02,OUT035,1521.2341300450903
FDW21,OUT045,1642.2802494402565
FDV34,OUT046,1166.016081009824
FDS59,OUT049,1651.7067836349977
NCW17,OUT017,2069.5839470340616
NCK54,OUT046,1967.2761065002885
FDG17,OUT019,526.1971208562252
FDG35,OUT017,2837.821494926203
FDD08,OUT010,78.36552588680065
NCO07,OUT017,3803.7586794434937
FDJ10,OUT010,324.9690154224266
FDW36,OUT017,1645.726500233117
FDW21,OUT010,233.2579084090129
FDY19,OUT017,1949.9611522780726
DRE03,OUT013,765.9029680251923
NCC55,OUT049,612.7052927121943
FDH52,OUT010,163.2056258185671
FDO09,OUT017,4011.2516951975854
FDU43,OUT045,3981.432445148301
FDX09,OUT010,395.16488103369676
FDH40,OUT019,214.52396082479237
FDW58,OUT017,1645.726500233117
FDC47,OUT017,3786.7315908943388
NCR41,OUT035,1511.7278888842925
DRG49,OUT035,3962.1634230031973
FDC52,OUT027,4033.5021930993744
FDY13,OUT046,1172.8882580806983
FDY35,OUT013,628.0076486794777
FDI35,OUT017,3095.3345179401636
NCU18,OUT049,2103.1987871383344
FDY33,OUT018,2454.7895889155616
FDC15,OUT027,4038.7061377968316
FDU01,OUT049,3065.818285220984
NCU42,OUT046,2795.266663141449
NCV29,OUT018,2807.6628108881005
NCY30,OUT017,3017.7801889539974
FDQ46,OUT049,1741.7572775263848
FDG58,OUT027,3839.4733942678913
FDK33,OUT017,3738.6808219179393
NCD07,OUT045,1922.7334650069884
NCX29,OUT027,3640.715836718293
NCT42,OUT013,2459.12835098064
DRN59,OUT035,765.2949080732692
FDI44,OUT035,1270.0112515509772
FDA45,OUT049,2834.6761817528386
FDP31,OUT045,1035.3546999699945
FDY01,OUT046,1954.3534440405904
FDT09,OUT018,1964.9975838217827
DRH03,OUT027,2476.4793816435154
FDA36,OUT018,3034.5008131430495
NCF31,OUT017,2476.3157197654314
FDG14,OUT049,2469.1602222965616
FDG28,OUT027,6202.892796388966
FDU14,OUT049,4165.7713445090885
FDY47,OUT019,282.010416428306
FDI56,OUT049,1398.9979490173139
DRD01,OUT013,840.1505117448512
FDM22,OUT046,855.2186016819659
FDH33,OUT013,618.3636582236065
DRZ24,OUT013,1978.7621642258475
NCQ38,OUT046,1645.726500233117
FDO16,OUT027,2309.3243266413633
FDU07,OUT027,3811.4987509624916
NCB07,OUT013,3021.2392252263053
FDU48,OUT045,2029.7251013722648
NCM43,OUT045,2620.685422808671
FDR31,OUT010,348.6744799806891
DRK49,OUT018,586.0395254650562
NCI30,OUT010,629.5752217245437
DRD60,OUT017,3046.9854857173545
NCG19,OUT046,3780.2162218102853
FDH12,OUT035,1645.726500233117
FDM32,OUT035,1471.7040268952928
FDM27,OUT035,2525.2848003330996
NCU53,OUT027,4253.885118549474
NCQ18,OUT046,1556.8149516967485
FDS10,OUT013,2941.9364129543746
FDB33,OUT027,4386.003966370136
FDI12,OUT013,1359.4083954395912
NCW42,OUT013,3724.5677547969026
NCC06,OUT018,1954.3431275568516
FDW02,OUT017,2024.6258078728074
NCD43,OUT017,1645.726500233117
FDM57,OUT018,1332.155438716978
FDA58,OUT017,3849.042528754837
FDK56,OUT046,3106.903199768133
FDP52,OUT045,3864.8479568967787
FDW20,OUT018,1939.5880606958522
FDS52,OUT049,1615.4458357532835
NCT29,OUT018,1885.1479067277335
NCL54,OUT013,2904.638997783944
FDC05,OUT045,3059.9500022018947
FDF34,OUT035,3097.1227985157966
FDP03,OUT027,3326.6427094503515
FDD32,OUT010,178.6783268506166
FDZ10,OUT045,2069.5839470340616
FDZ40,OUT035,855.2186016819659
FDD51,OUT018,592.0179752071564
NCY30,OUT019,411.77199933549883
FDP58,OUT017,3654.5268821338827
FDV49,OUT017,4236.509505180934
FDY24,OUT019,162.93398279431818
NCO55,OUT017,1645.726500233117
FDR13,OUT017,1942.205070486128
FDS51,OUT017,981.784924454928
FDP26,OUT045,1645.726500233117
NCB54,OUT027,3504.53042371237
FDF32,OUT017,3051.096762985397
FDN31,OUT018,2988.5108108095683
DRM48,OUT017,605.5064707792916
FDN20,OUT049,2784.3792821843795
DRL01,OUT046,3826.7954087338994
FDV56,OUT049,1642.7449400776616
DRH13,OUT027,2555.0630849991717
FDA03,OUT017,2474.37068187076
FDF47,OUT027,5733.70391296691
FDX32,OUT046,2507.829749146446
FDX57,OUT049,1531.7516629953352
NCA30,OUT045,3031.0731339580734
FDO49,OUT013,771.2759017713985
FDL04,OUT019,243.83519424995612
DRM48,OUT035,610.493523153933
FDR16,OUT013,3611.010970215654
NCC19,OUT018,3005.6860360645182
NCE42,OUT045,3898.0380943413206
FDY24,OUT017,855.2186016819659
FDH19,OUT049,2883.0976460061597
FDJ46,OUT013,2889.3645046584807
FDN45,OUT010,624.4506040220292
FDY08,OUT035,2030.935511223556
FDZ37,OUT035,1370.0334319762262
NCT30,OUT045,767.9397682373617
DRY23,OUT018,592.0179752071564
NCZ30,OUT018,1926.3166321473554
FDC44,OUT018,1808.022300966932
FDB45,OUT035,1645.726500233117
FDY04,OUT013,2563.5609608166133
FDM27,OUT046,2596.2982410120803
FDZ43,OUT017,4036.869793861689
FDT39,OUT019,398.9049873562761
NCC06,OUT019,310.0088277927374
FDL15,OUT027,4007.4833834154024
FDL57,OUT017,4047.603474772187
FDU08,OUT046,1556.2113489955511
FDK40,OUT017,4206.117988864754
FDQ12,OUT010,569.1785765601245
FDS48,OUT017,2492.701027417514
FDP09,OUT045,3715.185450202759
FDW21,OUT049,1571.1253005269564
FDY25,OUT035,3050.2175006329458
DRE13,OUT017,1359.0045516822845
FDV43,OUT019,90.10787182769108
FDD22,OUT045,1737.8715550312895
FDM46,OUT019,228.0932440734139
NCO30,OUT010,480.5487162084668
FDM25,OUT046,2908.7104965526996
NCN41,OUT049,2038.424323692873
FDU24,OUT045,1474.1266617030508
FDZ50,OUT046,3117.7404223448852
FDP45,OUT013,4017.283915406059
NCM54,OUT045,2023.0195108165483
FDW10,OUT019,411.6983618502888
FDP20,OUT017,2023.0195108165483
FDK32,OUT046,2507.644024793843
FDN52,OUT049,1378.858567500059
FDM58,OUT045,1723.6711199095835
FDZ46,OUT027,2972.538465370088
NCA18,OUT018,1810.7578619215137
FDD35,OUT046,2084.9887599103868
NCK31,OUT035,773.3127019835679
FDI40,OUT027,2772.4515820773736
FDT50,OUT019,239.3959818583631
NCT06,OUT046,2606.8949754420296
FDT31,OUT035,3027.7170929058884
FDT45,OUT049,825.995305759813
FDT13,OUT045,3098.387724156285
FDO50,OUT045,1405.651567789652
NCU18,OUT010,316.03585045611635
NCR54,OUT049,3074.5435514982914
NCO18,OUT018,2807.6628108881005
FDU09,OUT045,855.2186016819659
FDT13,OUT018,2995.4349123358015
FDE09,OUT046,1769.8216413347386
NCK53,OUT019,242.73933822549458
FDG45,OUT049,3730.0352454892386
DRH15,OUT035,662.3283520088784
FDO21,OUT019,584.9845901352936
FDD14,OUT027,5053.4670018774095
FDC09,OUT046,1645.726500233117
FDH45,OUT027,1027.4847016692268
FDV32,OUT046,1043.086678663915
FDG12,OUT035,2009.4800335270616
FDS32,OUT013,2058.564374321979
NCL55,OUT018,3551.247757935059
DRE01,OUT035,3861.7057454172827
DRE15,OUT049,1260.0875558028
NCL42,OUT045,3941.119000705791
FDP31,OUT013,986.5302018179558
FDN33,OUT018,1436.8648593741773
FDZ59,OUT046,2551.9052043297725
FDE45,OUT010,388.10582320152787
FDJ07,OUT013,2014.8736054197636
FDQ45,OUT018,3000.058402945056
FDM33,OUT027,5620.716232478795
FDO15,OUT010,168.30642793757949
FDM46,OUT013,1471.1451015475957
FDR03,OUT045,3517.7442600384247
FDY49,OUT018,2624.517847058284
FDQ60,OUT045,1970.2933057209352
FDW10,OUT049,2847.119232545734
FDO51,OUT049,642.3144607381705
FDJ40,OUT018,1612.2638878116513
FDS20,OUT018,2974.3591551706945
FDU45,OUT013,1813.3954290571598
FDV02,OUT035,2780.556993043048
FDN09,OUT046,3944.182075004817
NCM55,OUT027,5250.486240375641
FDN23,OUT018,2367.942595921248
FDY31,OUT010,355.8404240818405
FDW03,OUT010,234.93771397208303
FDD14,OUT046,2959.128118662903
FDV23,OUT017,2023.0195108165483
DRI03,OUT045,2897.522179446462
FDN13,OUT035,1556.8149516967485
FDF45,OUT027,1753.19815822002
FDU46,OUT035,1372.295600639085
FDB57,OUT049,3773.5613132983203
FDV12,OUT049,1553.8333915412934
FDQ58,OUT013,2469.5631750772814
NCA18,OUT017,1922.7334650069884
FDH52,OUT049,940.5435770594855
FDM24,OUT018,2353.040219112499
NCP43,OUT027,4985.196939095572
NCO18,OUT019,390.67667780400063
FDM32,OUT017,1413.3608976490457
NCL07,OUT017,608.2382346654257
FDK03,OUT013,4168.978540759862
FDP59,OUT017,1645.726500233117
FDQ24,OUT049,4150.5880118831665
FDQ16,OUT018,1612.2638878116513
FDU44,OUT013,2542.161144025465
FDH28,OUT010,91.6573008191914
FDV28,OUT019,87.70398754291418
FDM22,OUT045,850.5263855044959
FDR56,OUT046,3090.4230390807998
FDV39,OUT049,3104.9032235296772
FDU37,OUT019,216.44255264317806
FDQ11,OUT010,615.9099192252445
FDX02,OUT045,3797.8153804513195
NCS42,OUT018,1436.8648593741773
FDY57,OUT027,2719.4105428638286
FDB21,OUT049,3895.1609943598432
FDE28,OUT017,3797.7288801745094
FDQ55,OUT017,1960.0203219524305
FDA48,OUT049,3700.2126480117304
FDZ19,OUT045,2883.5709082304156
NCC43,OUT045,3948.358811766694
NCV18,OUT046,1339.1265795994234
NCA42,OUT018,2441.0599484403047
FDY45,OUT046,4041.197810738465
NCC30,OUT045,2947.4173323890695
FDM57,OUT013,1356.5171075061553
FDL09,OUT010,403.98150422716884
FDB09,OUT027,3320.210397977067
FDT44,OUT035,1976.612535646821
NCT06,OUT027,4349.191173499618
FDX26,OUT049,3090.3929463039894
FDK32,OUT013,2490.9069960293473
DRA12,OUT046,2124.158744113807
FDO46,OUT010,483.6144627352064
FDE52,OUT013,1376.3332956062332
NCH42,OUT045,3882.3126496633463
FDV08,OUT035,620.4004584357759
FDB47,OUT018,3189.1599954651047
FDC28,OUT010,216.01192005342523
FDD22,OUT046,1947.3399256295345
FDS07,OUT027,3153.1234591389166
DRI13,OUT045,3741.811631534831
FDG32,OUT018,3409.550899932974
FDU14,OUT017,4172.134604845397
FDD28,OUT019,172.00205351350735
NCP41,OUT017,1654.688343790453
FDS08,OUT049,2887.4349633158195
FDX47,OUT045,2530.772696844904
FDC53,OUT019,244.69103215317335
FDQ19,OUT035,4014.5994308570203
FDL14,OUT045,2490.3088438452796
FDM33,OUT019,626.5878895844354
FDA51,OUT045,1926.888010906456
FDZ27,OUT018,745.8756619529553
FDT04,OUT046,614.4220086936757
DRC13,OUT049,2051.173410437177
FDR16,OUT027,5529.541409357984
FDQ03,OUT027,6147.673538709476
FDE38,OUT035,2708.7698462943686
DRH23,OUT027,1805.2267088537399
FDT11,OUT019,561.0334257426299
FDD09,OUT035,2975.879512588954
FDR40,OUT045,1339.1265795994234
FDX07,OUT017,3027.7170929058884
FDR07,OUT035,1545.8790031102928
FDA51,OUT017,1916.7241248525834
FDT59,OUT019,581.872763988983
FDF20,OUT017,3076.330749078381
FDR13,OUT045,1927.6895083185825
FDY26,OUT049,3778.3961926718325
FDW04,OUT017,2025.7273262882588
FDK52,OUT017,3818.2496011797257
FDN60,OUT049,2550.5554137220875
FDM09,OUT019,403.8987296831513
FDP46,OUT049,1369.1321482503795
FDB50,OUT019,214.11682684603193
NCQ29,OUT049,4020.693043066859
FDP16,OUT027,6374.924700887425
FDX33,OUT018,2450.111815277808
FDP07,OUT010,491.03670093867146
FDN22,OUT046,3898.369549593745
FDF39,OUT049,4200.738421160199
FDS21,OUT017,944.6835677312722
NCM42,OUT013,1648.8269064494305
FDK50,OUT019,405.3953965994719
DRF13,OUT027,3898.1801143135626
FDH35,OUT018,2455.3187794408127
FDP60,OUT018,1519.5531493678748
DRJ49,OUT027,3458.3063978946707
NCT42,OUT019,361.6831296698465
FDE38,OUT049,2703.7197973231187
FDI04,OUT049,3075.817280338165
NCH54,OUT045,2567.572067191794
FDT56,OUT049,858.6620020519067
DRD15,OUT018,3358.8624642168593
FDV58,OUT013,2923.3081004948535
FDP21,OUT049,3136.6107981550927
FDH05,OUT013,3765.276402370452
FDR10,OUT027,4400.662453033018
NCP06,OUT045,2459.309605473639
FDF33,OUT049,1642.7449400776616
DRK37,OUT013,3136.0721754289707
DRH49,OUT045,1332.5612746298625
FDT58,OUT013,2694.8054946162288
FDD41,OUT018,1608.4646979042434
FDP40,OUT018,1668.995538506559
FDM51,OUT027,2523.018930088837
FDO45,OUT010,185.25467787023527
FDW33,OUT010,239.48357272196543
FDY24,OUT045,855.2186016819659
FDB10,OUT010,569.6149012607369
FDM40,OUT035,2063.058079448831
NCI06,OUT017,3035.4286648103603
FDW12,OUT019,322.69140487884073
FDX48,OUT027,4193.506513010513
NCW05,OUT027,2780.1104351423082
FDX27,OUT017,1518.8114952373326
DRM37,OUT045,3079.31061204108
FDA38,OUT045,4000.111487642911
FDR36,OUT046,614.4220086936757
FDZ45,OUT046,3112.779156324268
FDG05,OUT017,2537.3675693541663
FDK28,OUT013,4176.830473172181
FDV47,OUT045,1359.4732048079627
FDN21,OUT045,2557.6011544077783
FDP20,OUT027,3467.1781524289017
FDI35,OUT045,3095.3345179401636
DRY23,OUT013,618.3636582236065
FDA56,OUT017,2041.323818143791
FDB09,OUT013,2019.6709029778522
NCO26,OUT027,3115.7776946712434
FDQ49,OUT018,2389.2119445824355
FDI52,OUT027,3231.871718700182
FDZ44,OUT027,3044.8580419540676
FDZ09,OUT018,2482.586875578364
FDY03,OUT049,1947.8825995511716
NCG42,OUT017,2041.5994940636247
DRI13,OUT027,5583.2286748810475
FDQ32,OUT013,2039.984391074903
FDW16,OUT035,1405.651567789652
FDU27,OUT046,767.9397682373617
FDR28,OUT010,416.9321710081982
FDQ49,OUT010,366.24151869454505
FDS37,OUT046,1959.158489539322
FDW26,OUT018,3357.6098749203393
FDX12,OUT018,3679.725117492942
NCP06,OUT013,2435.8625663466255
FDW45,OUT010,316.1394483648586
NCN30,OUT049,1508.7463287288374
FDN24,OUT049,825.995305759813
NCL41,OUT027,971.360516969157
FDR02,OUT019,260.6922991575297
FDD09,OUT010,433.18530874674144
FDS33,OUT010,186.4072022228179
FDU22,OUT045,1994.8303049688918
FDI53,OUT013,2535.212139487317
DRH01,OUT049,2889.1728756250245
FDX32,OUT013,2102.257860436411
NCP30,OUT018,586.0395254650562
FDB60,OUT045,3097.830644157952
FDB14,OUT049,1468.7224667398377
NCP02,OUT035,855.2186016819659
FDJ10,OUT017,2032.5629220908902
FDG34,OUT046,1723.6711199095835
NCB18,OUT017,1370.1360690622942
FDM16,OUT049,1150.8041460879847
FDW25,OUT018,1340.9427465231145
FDB35,OUT010,201.1482979713728
DRN11,OUT013,2124.1805118718307
FDF41,OUT019,575.0007013158025
FDH16,OUT045,1374.0422272342664
NCQ50,OUT018,3328.0004141612917
DRH23,OUT018,840.1505117448512
DRJ37,OUT013,2456.6300472218254
DRJ24,OUT027,5248.770644160891
FDY16,OUT035,3036.961550207816
FDQ27,OUT045,1660.595774411022
FDZ33,OUT045,2483.046419129717
FDF29,OUT045,2080.2384032989926
FDA08,OUT049,2574.786967145168
FDG31,OUT046,1039.930771393273
FDE34,OUT019,459.0192433856705
NCR30,OUT027,1987.926247760365
FDV33,OUT035,4067.7524680925326
DRZ24,OUT018,1927.55336631492
NCL54,OUT035,2892.83632224346
FDR12,OUT049,2918.89839932259
NCC54,OUT046,3914.4421485571256
DRN59,OUT013,763.2581078610998
FDX50,OUT019,248.80766416071907
FDV31,OUT027,5180.547631177708
NCA29,OUT027,4840.344058312791
FDW60,OUT049,2925.7199340407865
FDX08,OUT017,3088.3476068899276
DRD49,OUT013,3791.771074729515
FDD33,OUT046,3792.6526165685177
FDW35,OUT013,618.3636582236065
FDJ36,OUT017,1645.726500233117
FDV51,OUT035,2702.2252002393384
FDW36,OUT046,1645.726500233117
FDH35,OUT046,2568.101257717045
NCS30,OUT027,3494.1319832328686
FDN49,OUT017,610.450004223687
FDL08,OUT018,3604.5983054142066
FDI09,OUT013,3833.5040709297723
FDP19,OUT018,1923.6413325395667
FDU21,OUT010,86.6934019995855
NCP41,OUT045,1645.726500233117
FDY10,OUT013,1833.103622016916
FDP12,OUT018,579.3792760391794
NCN26,OUT049,1963.9566234459103
FDK44,OUT013,2874.1697671305565
FDC28,OUT049,1651.7067836349977
FDJ41,OUT027,6231.8409655279265
NCT29,OUT035,2002.7060227194975
NCH42,OUT019,540.6864144751394
FDU60,OUT018,2601.849393442374
FDS02,OUT045,3107.07510145988
FDC51,OUT046,2084.9887599103868
FDU03,OUT013,3027.127641476048
FDX39,OUT045,3775.6695627187987
NCY05,OUT010,87.61229167874708
NCL06,OUT027,5989.173707263308
FDD32,OUT035,1277.2203337010933
NCN41,OUT045,2002.7060227194975
NCX53,OUT049,2144.3641272378895
FDU57,OUT019,327.8238010914163
FDQ23,OUT046,1645.726500233117
FDQ52,OUT045,4066.528587622285
FDC14,OUT045,614.4220086936757
FDY09,OUT035,2915.660927688437
FDQ28,OUT045,2533.25881811723
FDV25,OUT046,3796.1677099626904
FDJ07,OUT035,1955.0643370477035
DRB25,OUT049,1642.7449400776616
FDK52,OUT019,608.8587313808514
FDY52,OUT027,1793.816708652319
FDB28,OUT046,3109.2904434214215
FDT36,OUT035,607.7617592677989
FDV25,OUT017,3824.128787540353
NCN07,OUT027,3489.990024128089
FDC57,OUT017,3017.110516775061
FDQ03,OUT018,3375.497638270431
FDU23,OUT017,2743.6816290606175
NCX41,OUT035,3737.659613898293
NCD06,OUT035,765.2949080732692
FDW08,OUT045,1645.726500233117
NCU29,OUT017,2483.185477204566
NCE06,OUT013,2507.2729634820976
FDV52,OUT010,252.5045737645011
FDB02,OUT017,2918.4611253049356
NCR18,OUT045,620.4004584357759
FDK16,OUT049,1511.1689635365951
NCQ29,OUT010,630.0132538631408
FDZ01,OUT019,261.22579383299086
FDW27,OUT035,2520.544586194419
FDD17,OUT018,3529.0255463231365
FDW39,OUT013,2894.309288180303
DRH59,OUT045,1119.9361697332918
FDS52,OUT013,1631.2296313473091
FDU40,OUT027,5365.168670787391
NCF54,OUT013,2862.743442787544
FDH46,OUT045,1645.726500233117
NCP14,OUT049,1642.7449400776616
FDH50,OUT049,3124.9968534089285
DRF15,OUT010,335.55436625686406
FDV27,OUT027,2395.8890027349853
NCJ06,OUT049,2042.2617970873061
FDN02,OUT018,3256.039261472092
FDQ51,OUT049,765.2949080732692
FDQ07,OUT017,3745.245602811172
FDS45,OUT049,1657.6142142555668
NCJ06,OUT045,2010.6315497016435
FDD36,OUT035,1971.4818357611623
FDY25,OUT045,3098.387724156285
FDU52,OUT046,2489.3924861058085
DRK47,OUT017,3863.6371454690375
NCL30,OUT017,2023.0195108165483
FDN22,OUT035,3914.444222067946
NCF30,OUT027,3433.3094177604676
FDK03,OUT035,4195.009812941777
FDT45,OUT017,855.2186016819659
NCC54,OUT027,6090.616230632822
